initial_speed,initial_angle,max_range,max_height
60,22,255.1806259,25.7749163
60,24,272.9919767,30.38596472
60,26,289.4733381,35.29639512
60,28,304.5444144,40.48228438
60,30,318.131781,45.91836735
60,32,330.1692415,51.57815999
60,34,340.5981507,57.43408836
60,36,349.3676999,63.45762297
60,38,356.4351648,69.61941775
60,40,361.7661134,75.88945307
60,42,365.3345738,82.23718194
60,44,367.1231609,88.63167887
60,46,367.1231609,95.04179051
60,48,365.3345738,101.4362874
60,50,361.7661134,107.7840163
60,52,356.4351648,114.0540516
60,54,349.3676999,120.2158464
60,56,340.5981507,126.239381
60,58,330.1692415,132.0953094
60,60,318.131781,137.755102
60,62,304.5444144,143.191185
60,64,289.4733381,148.3770743
60,66,272.9919767,153.2875047
60,68,255.1806259,157.8985531
60,70,236.1260607,162.187755
60,72,215.9211131,166.1342138
60,74,194.6642195,169.7187027
60,76,172.4589414,172.9237585
60,78,149.4134607,175.7337665
60,80,125.6400527,178.1350366
60,82,101.2545389,180.11587
60,84,76.37572316,181.6666164
60,86,51.1248126,182.7797206
60,88,25.62482709,183.4497597
60,90,0,183.6734694
70,2,34.87823687,0.304493718
70,4,69.58655048,1.216491407
70,6,103.9558454,2.731549908
70,8,137.8186779,4.842288008
70,10,171.0100717,7.538422402
70,12,203.3683215,10.80681779
70,14,234.7357814,14.63155089
70,16,264.9596321,18.99398798
70,18,293.8926261,23.8728757
70,20,321.3938048,29.24444461
70,22,347.3291852,35.08252496
70,24,371.5724127,41.35867421
70,26,394.0053768,48.04231558
70,28,414.5187863,55.10088707
70,30,433.0127019,62.5
70,32,449.3970231,70.20360665
70,34,463.5919273,78.17417582
70,36,475.5282581,86.3728757
70,38,485.1478631,94.75976305
70,40,492.4038765,103.2939778
70,42,497.2609477,111.9339421
70,44,499.6954135,120.6375629
70,46,499.6954135,129.3624371
70,48,497.2609477,138.0660579
70,50,492.4038765,146.7060222
70,52,485.1478631,155.2402369
70,54,475.5282581,163.6271243
70,56,463.5919273,171.8258242
70,58,449.3970231,179.7963933
70,60,433.0127019,187.5
70,62,414.5187863,194.8991129
70,64,394.0053768,201.9576844
70,66,371.5724127,208.6413258
70,68,347.3291852,214.917475
70,70,321.3938048,220.7555554
70,72,293.8926261,226.1271243
70,74,264.9596321,231.006012
70,76,234.7357814,235.3684491
70,78,203.3683215,239.1931822
70,80,171.0100717,242.4615776
70,82,137.8186779,245.157712
70,84,103.9558454,247.2684501
70,86,69.58655048,248.7835086
70,88,34.87823687,249.6955063
70,90,0,250
80,2,45.55524816,0.39770608
80,4,90.88855573,1.588886736
80,6,135.7790634,3.567738656
80,8,180.0080691,6.324621071
80,10,223.3600936,9.846102729
80,12,265.6239302,14.11502732
80,14,306.5936737,19.11059708
80,16,346.0697236,24.8084741
80,18,383.8597566,31.18089888
80,20,419.7796635,38.19682561
80,22,453.654446,45.82207341
80,24,485.3190697,54.01949284
80,26,514.6192677,62.74914689
80,28,541.4122923,71.96850556
80,30,565.5676106,81.63265306
80,32,586.9675404,91.69450665
80,34,605.5078234,102.105046
80,36,621.0981331,112.8135519
80,38,633.6625151,123.7678538
80,40,643.1397571,134.9145832
80,42,649.4836868,146.1994346
80,44,652.6633972,157.5674291
80,46,652.6633972,168.9631831
80,48,649.4836868,180.3311777
80,50,643.1397571,191.616029
80,52,633.6625151,202.7627585
80,54,621.0981331,213.7170603
80,56,605.5078234,224.4255663
80,58,586.9675404,234.8361056
80,60,565.5676106,244.8979592
80,62,541.4122923,254.5621067
80,64,514.6192677,263.7814654
80,66,485.3190697,272.5111194
80,68,453.654446,280.7085388
80,70,419.7796635,288.3337866
80,72,383.8597566,295.3497134
80,74,346.0697236,301.7221381
80,76,306.5936737,307.4200152
80,78,265.6239302,312.4155849
80,80,223.3600936,316.6845095
80,82,180.0080691,320.2059912
80,84,135.7790634,322.9628736
80,86,90.88855573,324.9417255
80,88,45.55524816,326.1329062
80,90,0,326.5306122
90,2,57.65586095,0.503346758
90,4,115.0308283,2.010934775
90,6,171.8453771,4.515419236
90,8,227.8227125,8.004598543
90,10,282.6901185,12.46147377
90,12,336.1802866,17.86433146
90,14,388.0326182,24.18684943
90,16,437.9944939,31.39822503
90,18,485.8225044,39.46332514
90,20,531.2836366,48.34285742
90,22,574.1564082,57.99356166
90,24,614.2319476,68.36842062
90,26,651.3150106,79.41688903
90,28,685.2249324,91.08513984
90,30,715.7965072,103.3163265
90,32,742.8807934,116.05086
90,34,766.345839,129.2266988
90,36,786.0773247,142.7796517
90,38,801.9791207,156.6436899
90,40,813.973755,170.7512694
90,42,822.0027911,185.0336594
